Iteration,Flip,Total_Tails,Ratio
1,H,0,0.0000
2,H,0,0.0000
3,H,0,0.0000
4,H,0,0.0000
5,H,0,0.0000
6,H,0,0.0000
7,H,0,0.0000
8,T,1,0.1250
9,T,2,0.2222
10,T,3,0.3000
11,T,4,0.3636
12,H,4,0.3333
13,H,4,0.3077
14,T,5,0.3571
15,T,6,0.4000
16,H,6,0.3750
17,H,6,0.3529
18,T,7,0.3889
19,H,7,0.3684
20,H,7,0.3500
21,H,7,0.3333
22,T,8,0.3636
23,T,9,0.3913
24,H,9,0.3750
25,T,10,0.4000
26,T,11,0.4231
27,H,11,0.4074
28,T,12,0.4286
29,T,13,0.4483
30,T,14,0.4667
31,T,15,0.4839
32,H,15,0.4688
33,T,16,0.4848
34,H,16,0.4706
35,H,16,0.4571
36,H,16,0.4444
37,H,16,0.4324
38,H,16,0.4211
39,H,16,0.4103
40,H,16,0.4000
41,H,16,0.3902
42,T,17,0.4048
43,T,18,0.4186
44,T,19,0.4318
45,H,19,0.4222
46,H,19,0.4130
47,T,20,0.4255
48,T,21,0.4375
49,H,21,0.4286
50,H,21,0.4200
51,T,22,0.4314
52,H,22,0.4231
53,H,22,0.4151
54,H,22,0.4074
55,H,22,0.4000
56,T,23,0.4107
57,H,23,0.4035
58,T,24,0.4138
59,H,24,0.4068
60,T,25,0.4167
61,T,26,0.4262
62,T,27,0.4355
63,H,27,0.4286
64,T,28,0.4375
65,T,29,0.4462
66,H,29,0.4394
67,T,30,0.4478
68,T,31,0.4559
69,T,32,0.4638
70,T,33,0.4714
71,H,33,0.4648
72,T,34,0.4722
73,H,34,0.4658
74,H,34,0.4595
75,H,34,0.4533
76,T,35,0.4605
77,T,36,0.4675
78,H,36,0.4615
79,T,37,0.4684
80,H,37,0.4625
81,H,37,0.4568
82,T,38,0.4634
83,T,39,0.4699
84,H,39,0.4643
85,T,40,0.4706
86,H,40,0.4651
87,T,41,0.4713
88,T,42,0.4773
89,T,43,0.4831
90,T,44,0.4889
91,T,45,0.4945
92,H,45,0.4891
93,H,45,0.4839
94,T,46,0.4894
95,T,47,0.4947
96,T,48,0.5000
97,H,48,0.4948
98,H,48,0.4898
99,T,49,0.4949
100,H,49,0.4900
101,H,49,0.4851
102,H,49,0.4804
103,T,50,0.4854
104,H,50,0.4808
105,T,51,0.4857
106,H,51,0.4811
107,T,52,0.4860
108,T,53,0.4907
109,H,53,0.4862
110,H,53,0.4818
111,T,54,0.4865
112,H,54,0.4821
113,H,54,0.4779
114,T,55,0.4825
115,H,55,0.4783
116,H,55,0.4741
117,H,55,0.4701
118,H,55,0.4661
119,T,56,0.4706
120,H,56,0.4667
121,H,56,0.4628
122,T,57,0.4672
123,T,58,0.4715
124,H,58,0.4677
125,H,58,0.4640
126,H,58,0.4603
127,H,58,0.4567
128,H,58,0.4531
129,H,58,0.4496
130,H,58,0.4462
131,T,59,0.4504
132,H,59,0.4470
133,T,60,0.4511
134,H,60,0.4478
135,T,61,0.4519
136,H,61,0.4485
137,H,61,0.4453
138,H,61,0.4420
139,H,61,0.4388
140,H,61,0.4357
141,T,62,0.4397
142,H,62,0.4366
143,T,63,0.4406
144,H,63,0.4375
145,H,63,0.4345
146,H,63,0.4315
147,H,63,0.4286
148,T,64,0.4324
149,T,65,0.4362
150,H,65,0.4333
151,T,66,0.4371
152,H,66,0.4342
153,H,66,0.4314
154,T,67,0.4351
155,H,67,0.4323
156,T,68,0.4359
157,T,69,0.4395
158,T,70,0.4430
159,H,70,0.4403
160,H,70,0.4375
161,T,71,0.4410
162,T,72,0.4444
163,T,73,0.4479
164,T,74,0.4512
165,H,74,0.4485
166,H,74,0.4458
167,T,75,0.4491
168,T,76,0.4524
169,T,77,0.4556
170,H,77,0.4529
171,H,77,0.4503
172,T,78,0.4535
173,T,79,0.4566
174,T,80,0.4598
175,T,81,0.4629
176,H,81,0.4602
177,H,81,0.4576
178,H,81,0.4551
179,T,82,0.4581
180,H,82,0.4556
181,H,82,0.4530
182,T,83,0.4560
183,T,84,0.4590
184,H,84,0.4565
185,H,84,0.4541
186,H,84,0.4516
187,T,85,0.4545
188,H,85,0.4521
189,H,85,0.4497
190,T,86,0.4526
191,T,87,0.4555
192,H,87,0.4531
193,H,87,0.4508
194,H,87,0.4485
195,H,87,0.4462
196,H,87,0.4439
197,T,88,0.4467
198,H,88,0.4444
199,T,89,0.4472
200,H,89,0.4450
201,H,89,0.4428
202,T,90,0.4455
203,T,91,0.4483
204,T,92,0.4510
205,H,92,0.4488
206,T,93,0.4515
207,T,94,0.4541
208,H,94,0.4519
209,H,94,0.4498
210,T,95,0.4524
211,H,95,0.4502
212,H,95,0.4481
213,H,95,0.4460
214,T,96,0.4486
215,H,96,0.4465
216,H,96,0.4444
217,H,96,0.4424
218,H,96,0.4404
219,H,96,0.4384
220,T,97,0.4409
221,H,97,0.4389
222,T,98,0.4414
223,T,99,0.4439
224,T,100,0.4464
225,H,100,0.4444
226,T,101,0.4469
227,H,101,0.4449
228,H,101,0.4430
229,H,101,0.4410
230,T,102,0.4435
231,T,103,0.4459
232,H,103,0.4440
233,H,103,0.4421
234,T,104,0.4444
235,T,105,0.4468
236,T,106,0.4492
237,T,107,0.4515
238,H,107,0.4496
239,T,108,0.4519
240,T,109,0.4542
241,T,110,0.4564
242,H,110,0.4545
243,H,110,0.4527
244,T,111,0.4549
245,T,112,0.4571
246,T,113,0.4593
247,H,113,0.4575
248,H,113,0.4556
249,T,114,0.4578
250,H,114,0.4560
251,H,114,0.4542
252,H,114,0.4524
253,T,115,0.4545
254,T,116,0.4567
255,T,117,0.4588
256,T,118,0.4609
257,H,118,0.4591
258,H,118,0.4574
259,H,118,0.4556
260,H,118,0.4538
261,H,118,0.4521
262,T,119,0.4542
263,H,119,0.4525
264,T,120,0.4545
265,H,120,0.4528
266,H,120,0.4511
267,T,121,0.4532
268,T,122,0.4552
269,T,123,0.4572
270,T,124,0.4593
271,T,125,0.4613
272,H,125,0.4596
273,H,125,0.4579
274,H,125,0.4562
275,T,126,0.4582
276,H,126,0.4565
277,T,127,0.4585
278,H,127,0.4568
279,H,127,0.4552
280,H,127,0.4536
281,H,127,0.4520
282,T,128,0.4539
283,H,128,0.4523
284,H,128,0.4507
285,H,128,0.4491
286,H,128,0.4476
287,T,129,0.4495
288,H,129,0.4479
289,H,129,0.4464
290,T,130,0.4483
291,T,131,0.4502
292,H,131,0.4486
293,T,132,0.4505
294,T,133,0.4524
295,T,134,0.4542
296,T,135,0.4561
297,T,136,0.4579
298,T,137,0.4597
299,H,137,0.4582
300,H,137,0.4567
301,H,137,0.4551
302,T,138,0.4570
303,H,138,0.4554
304,H,138,0.4539
305,H,138,0.4525
306,T,139,0.4542
307,H,139,0.4528
308,T,140,0.4545
309,H,140,0.4531
310,T,141,0.4548
311,H,141,0.4534
312,T,142,0.4551
313,H,142,0.4537
314,T,143,0.4554
315,T,144,0.4571
316,H,144,0.4557
317,T,145,0.4574
318,T,146,0.4591
319,T,147,0.4608
320,H,147,0.4594
321,T,148,0.4611
322,H,148,0.4596
323,T,149,0.4613
324,H,149,0.4599
325,T,150,0.4615
326,H,150,0.4601
327,T,151,0.4618
328,H,151,0.4604
329,H,151,0.4590
330,T,152,0.4606
331,T,153,0.4622
332,T,154,0.4639
333,T,155,0.4655
334,T,156,0.4671
335,H,156,0.4657
